rank,place,ez_thousands,ak_printed
1,Berlin,3579,36
2,Hamburg,1168,23
3,Leipzig,622,19
4,München,610,24
5,Köln,593,30
6,Dresden,575,35
7,Breslau,522,37
8,Essen,475,38
9,Frankfurt a.M.,449,40
10,Nürnberg,414,41
11,Hannover,383,42
12,Düsseldorf,358,43
13,Elberfeld-Barmen,354,46
14,Stuttgart,315,44
15,Chemnitz,306,46
16,Mannheim-Ludwigshafen,282,45
17,Magdeburg,280,48
18,Bremen,267,48
19,Dortmund,263,50
20,Stettin,258,52
21,Königsberg i.Pr.,246,51
22,Duisburg,229,51
23,Kiel,209,48
24,Bochum,193,46
25,Straßburg,191,48
26,Halle,183,48
27,Gelsenkirchen,177,48
28,Danzig,170,48
29,Kassel,165,48
30,Posen,157,47
31,Aachen,156,48
32,Krefeld,155,50
33,Augsburg,151,50
34,München-Gladbach,146,50
35,Braunschweig,144,50
36,Mainz,137,49
37,Zabrze,136,50
38,Karlsruhe,134,51
39,Solingen,129,50
40,Kattowitz,128,51
41,Erfurt,124,51
42,Plauen,121,51
43,Königshütte,120,52
44,Wiesbaden,119,52
45,Zwickau,118,53
46,Mülheim a.R.,112,52
47,Hagen,110,52
48,Mülhausen,109,53
49,Saarbrücken,105,51
50,Hamborn,103,52
51,Lübeck,99,51
52,Beuthen,98,51
53,Bielefeld,97,51
54,Münster,90,49
55,Oberhausen,90,50
56,Bonn,88,49
57,Metz,87,50
58,Darmstadt,87,51
59,Bremerhaven,86,51
60,Görlitz,86,52
61,Würzburg,84,51
62,Freiburg i.Br.,83,52
63,Bromberg,80,50
64,Recklinghausen,79,51
65,Wilhelmshaven,78,51
66,Offenbach,76,51
67,Waldenburg i.Schl.,75,51
68,Remscheid,72,49
69,Bottrop,71,49
70,Pforzheim,69,48
71,Frankfurt a.O.,68,48
72,Ulm,68,49
73,Gera,68,50
74,Witten,67,50
75,Harburg,67,51
76,Gleiwitz,67,52
77,Liegnitz,67,52
78,Osnabrück,66,52
79,Rostock,65,51
80,Koblenz,65,52
81,Potsdam,65,53
82,Buer,62,51
83,Heidelberg,61,51
84,Flensburg,61,51
85,Mörs,60,51
86,Elbing,59,51
87,Herne,57,49
88,Dessau,57,50
89,Kaiserslautern,55,49
90,Brandenburg,54,49
91,Trier,54,49
92,Regensburg,53,49
93,Hildesheim,50,47
94,Thorn,50,47
