country,place,pop,year,source
BE,Bruxelles/Brussel (greater city),1264371,2024,eurostat-urb_cpop1
BE,Antwerpen (greater city),547794,2024,eurostat-urb_cpop1
BE,Liège (greater city),410032,2024,eurostat-urb_cpop1
BE,Gent,270133,2024,eurostat-urb_cpop1
BE,Charleroi (greater city),241219,2024,eurostat-urb_cpop1
BE,Mons (greater city),157957,2024,eurostat-urb_cpop1
BE,Brugge,120142,2024,eurostat-urb_cpop1
BE,Namur,115607,2024,eurostat-urb_cpop1
BE,La Louvière (greater city),105519,2024,eurostat-urb_cpop1
BE,Leuven,103358,2024,eurostat-urb_cpop1
CH,Zurich (greater city),725893,2025,eurostat-urb_cpop1
CH,Geneva (greater city),437406,2025,eurostat-urb_cpop1
CH,Basel (greater city),355946,2025,eurostat-urb_cpop1
CH,Lausanne (greater city),268135,2025,eurostat-urb_cpop1
CH,Bern (greater city),235885,2025,eurostat-urb_cpop1
CH,Lucerne (greater city),172541,2025,eurostat-urb_cpop1
CH,Winterthur,120376,2025,eurostat-urb_cpop1
DE,Berlin,3685265,2025,eurostat-urb_cpop1
DE,Hamburg,1862565,2025,eurostat-urb_cpop1
DE,München,1505005,2025,eurostat-urb_cpop1
DE,Köln,1024621,2025,eurostat-urb_cpop1
DE,Frankfurt am Main,756021,2025,eurostat-urb_cpop1
DE,Düsseldorf,618685,2025,eurostat-urb_cpop1
DE,Stuttgart,612663,2025,eurostat-urb_cpop1
DE,Leipzig,611850,2025,eurostat-urb_cpop1
DE,Dortmund,603462,2025,eurostat-urb_cpop1
DE,Bremen,586271,2025,eurostat-urb_cpop1
DE,Essen,574682,2025,eurostat-urb_cpop1
DE,Dresden,564904,2025,eurostat-urb_cpop1
DE,Nürnberg,529508,2025,eurostat-urb_cpop1
DE,Hannover,522131,2025,eurostat-urb_cpop1
DE,Duisburg,502270,2025,eurostat-urb_cpop1
DE,Bochum,358676,2025,eurostat-urb_cpop1
DE,Wuppertal,358193,2025,eurostat-urb_cpop1
DE,Bielefeld,331605,2025,eurostat-urb_cpop1
DE,Bonn,323336,2025,eurostat-urb_cpop1
DE,Mannheim,318035,2025,eurostat-urb_cpop1
DE,Karlsruhe,309050,2025,eurostat-urb_cpop1
DE,Münster,308258,2025,eurostat-urb_cpop1
DE,Augsburg,301105,2025,eurostat-urb_cpop1
DE,Wiesbaden,288850,2025,eurostat-urb_cpop1
DE,Gelsenkirchen,267930,2025,eurostat-urb_cpop1
DE,Mönchengladbach,267213,2025,eurostat-urb_cpop1
DE,Aachen,262670,2025,eurostat-urb_cpop1
DE,Braunschweig,252962,2025,eurostat-urb_cpop1
DE,Kiel,252668,2025,eurostat-urb_cpop1
DE,Chemnitz,245618,2025,eurostat-urb_cpop1
DE,Magdeburg,244329,2025,eurostat-urb_cpop1
DE,Freiburg im Breisgau,237460,2025,eurostat-urb_cpop1
DE,Krefeld,231406,2025,eurostat-urb_cpop1
DE,Halle an der Saale,226767,2025,eurostat-urb_cpop1
DE,Mainz,224684,2025,eurostat-urb_cpop1
DE,Erfurt,218793,2025,eurostat-urb_cpop1
DE,Lübeck,216889,2025,eurostat-urb_cpop1
DE,Oberhausen,213646,2025,eurostat-urb_cpop1
DE,Rostock,205307,2025,eurostat-urb_cpop1
DE,Kassel,197230,2025,eurostat-urb_cpop1
DE,Hagen,190384,2025,eurostat-urb_cpop1
DE,Potsdam,184754,2025,eurostat-urb_cpop1
DE,Saarbrücken,182971,2025,eurostat-urb_cpop1
DE,Hamm,179968,2025,eurostat-urb_cpop1
DE,Ludwigshafen am Rhein,177222,2025,eurostat-urb_cpop1
DE,Oldenburg (Oldenburg),176614,2025,eurostat-urb_cpop1
DE,Mülheim a.d.Ruhr,173050,2025,eurostat-urb_cpop1
DE,Leverkusen,168581,2025,eurostat-urb_cpop1
DE,Darmstadt,167029,2025,eurostat-urb_cpop1
DE,Osnabrück,166057,2025,eurostat-urb_cpop1
DE,Solingen,165626,2025,eurostat-urb_cpop1
DE,Paderborn,156378,2025,eurostat-urb_cpop1
DE,Herne,155851,2025,eurostat-urb_cpop1
DE,Heidelberg,155756,2025,eurostat-urb_cpop1
DE,Neuss,154317,2025,eurostat-urb_cpop1
DE,Regensburg,151389,2025,eurostat-urb_cpop1
DE,Esslingen am Neckar (greater city),147052,2025,eurostat-urb_cpop1
DE,Ingolstadt,141185,2025,eurostat-urb_cpop1
DE,Pforzheim,134912,2025,eurostat-urb_cpop1
DE,Würzburg,133258,2025,eurostat-urb_cpop1
DE,Offenbach am Main,132746,2025,eurostat-urb_cpop1
DE,Fürth,132036,2025,eurostat-urb_cpop1
DE,Heilbronn,131986,2025,eurostat-urb_cpop1
DE,Waiblingen (greater city),131946,2025,eurostat-urb_cpop1
DE,Ulm,129882,2025,eurostat-urb_cpop1
DE,Wolfsburg,129560,2025,eurostat-urb_cpop1
DE,Göttingen,127259,2025,eurostat-urb_cpop1
DE,Reutlingen,118852,2025,eurostat-urb_cpop1
DE,Bremerhaven,118610,2025,eurostat-urb_cpop1
DE,Bottrop,118535,2025,eurostat-urb_cpop1
DE,Troisdorf (greater city),118346,2025,eurostat-urb_cpop1
DE,Ludwigsburg (greater city),117292,2025,eurostat-urb_cpop1
DE,Erlangen,115928,2025,eurostat-urb_cpop1
DE,Recklinghausen,115344,2025,eurostat-urb_cpop1
DE,Remscheid,113828,2025,eurostat-urb_cpop1
DE,Koblenz,113378,2025,eurostat-urb_cpop1
DE,Bergisch Gladbach,111361,2025,eurostat-urb_cpop1
DE,Jena,109725,2025,eurostat-urb_cpop1
DE,Trier,104342,2025,eurostat-urb_cpop1
DE,Siegen,102685,2025,eurostat-urb_cpop1
