rank,place,pop,year,source
1,Berlin,5080569,2025,eurostat-urb_lpop1
2,Hamburg,3286152,2025,eurostat-urb_lpop1
3,München,3002043,2025,eurostat-urb_lpop1
4,Frankfurt am Main,2668350,2025,eurostat-urb_lpop1
5,Stuttgart,2548138,2025,eurostat-urb_lpop1
6,Köln,2315968,2025,eurostat-urb_lpop1
7,Essen,1880205,2025,eurostat-urb_lpop1
8,Düsseldorf,1685169,2025,eurostat-urb_lpop1
9,Nürnberg,1526691,2025,eurostat-urb_lpop1
10,Mannheim,1353221,2025,eurostat-urb_lpop1
11,Hannover,1275536,2025,eurostat-urb_lpop1
12,Dortmund,1122477,2025,eurostat-urb_lpop1
13,Bremen,1069555,2025,eurostat-urb_lpop1
14,Dresden,975419,2025,eurostat-urb_lpop1
15,Leipzig,965170,2025,eurostat-urb_lpop1
16,Duisburg,835597,2025,eurostat-urb_lpop1
17,Bochum,709701,2025,eurostat-urb_lpop1
18,Karlsruhe,699992,2025,eurostat-urb_lpop1
19,Bonn,668630,2025,eurostat-urb_lpop1
20,Augsburg,631678,2025,eurostat-urb_lpop1
21,Aachen,621011,2025,eurostat-urb_lpop1
22,Freiburg im Breisgau,598996,2025,eurostat-urb_lpop1
23,Münster,575378,2025,eurostat-urb_lpop1
24,Saarbrücken,552356,2025,eurostat-urb_lpop1
25,Bielefeld,547918,2025,eurostat-urb_lpop1
26,Braunschweig,534339,2025,eurostat-urb_lpop1
27,Kassel,488017,2025,eurostat-urb_lpop1
28,Ulm,481850,2025,eurostat-urb_lpop1
29,Kiel,480383,2025,eurostat-urb_lpop1
30,Regensburg,449413,2025,eurostat-urb_lpop1
31,Chemnitz,438546,2025,eurostat-urb_lpop1
32,Wiesbaden,429818,2025,eurostat-urb_lpop1
33,Darmstadt,427250,2025,eurostat-urb_lpop1
34,Magdeburg,426444,2025,eurostat-urb_lpop1
35,Mainz,406543,2025,eurostat-urb_lpop1
36,Mönchengladbach,392501,2025,eurostat-urb_lpop1
37,Heilbronn,392337,2025,eurostat-urb_lpop1
38,Ingolstadt,390349,2025,eurostat-urb_lpop1
39,Würzburg,386811,2025,eurostat-urb_lpop1
40,Wuppertal,386146,2025,eurostat-urb_lpop1
41,Lübeck,383583,2025,eurostat-urb_lpop1
42,Wolfsburg,370405,2025,eurostat-urb_lpop1
43,Halle an der Saale,357170,2025,eurostat-urb_lpop1
44,Osnabrück,355902,2025,eurostat-urb_lpop1
45,Erfurt,350321,2025,eurostat-urb_lpop1
46,Paderborn,344249,2025,eurostat-urb_lpop1
47,Rostock,324358,2025,eurostat-urb_lpop1
48,Oldenburg (Oldenburg),320458,2025,eurostat-urb_lpop1
49,Heidelberg,309795,2025,eurostat-urb_lpop1
50,Koblenz,297668,2025,eurostat-urb_lpop1
51,Krefeld,294762,2025,eurostat-urb_lpop1
52,Trier,268614,2025,eurostat-urb_lpop1
53,Göttingen,263727,2025,eurostat-urb_lpop1
54,Pforzheim,262085,2025,eurostat-urb_lpop1
55,Gießen,254146,2025,eurostat-urb_lpop1
56,Gütersloh,246268,2025,eurostat-urb_lpop1
57,Siegen,244001,2025,eurostat-urb_lpop1
58,Bamberg,236461,2025,eurostat-urb_lpop1
59,Aschaffenburg,231291,2025,eurostat-urb_lpop1
60,Tübingen,223630,2025,eurostat-urb_lpop1
61,Bremerhaven,210436,2025,eurostat-urb_lpop1
62,Kaiserslautern,210324,2025,eurostat-urb_lpop1
63,Düren,202879,2025,eurostat-urb_lpop1
64,Reutlingen,199740,2025,eurostat-urb_lpop1
65,Hagen,199200,2025,eurostat-urb_lpop1
66,Göppingen,194639,2025,eurostat-urb_lpop1
67,Hamm,191967,2025,eurostat-urb_lpop1
68,Schweinfurt,191521,2025,eurostat-urb_lpop1
69,Cottbus,190998,2025,eurostat-urb_lpop1
70,Bayreuth,186111,2025,eurostat-urb_lpop1
71,Hildesheim,185884,2025,eurostat-urb_lpop1
72,Flensburg,185342,2025,eurostat-urb_lpop1
73,Remscheid,184248,2025,eurostat-urb_lpop1
74,Jena,182735,2025,eurostat-urb_lpop1
75,Lüneburg,178039,2025,eurostat-urb_lpop1
76,Landshut,177405,2025,eurostat-urb_lpop1
77,Rosenheim,169557,2025,eurostat-urb_lpop1
78,Lörrach,167999,2025,eurostat-urb_lpop1
79,Schwerin,164717,2025,eurostat-urb_lpop1
80,Kempten (Allgäu),142629,2025,eurostat-urb_lpop1
81,Gera,140605,2025,eurostat-urb_lpop1
82,Lüdenscheid,139057,2025,eurostat-urb_lpop1
83,Iserlohn,132975,2025,eurostat-urb_lpop1
84,Neumünster,110903,2025,eurostat-urb_lpop1
85,Bocholt,104182,2025,eurostat-urb_lpop1
86,Konstanz,99461,2025,eurostat-urb_lpop1
87,Plauen,95332,2025,eurostat-urb_lpop1
88,Frankfurt (Oder),90147,2025,eurostat-urb_lpop1
89,Görlitz,79906,2025,eurostat-urb_lpop1
