country,pop,year,source
AT,9208163,2025,worldbank-SP.POP.TOTL(2025)
BE,11817096,2024,eurostat-demo_pjan(2024)
CH,9051029,2025,eurostat-demo_pjan(2025)
DE,83577140,2025,eurostat-demo_pjan(2025)
ES,48619695,2024,eurostat-demo_pjan(2024)
FR,68091703,2022,eurostat-demo_pjan(2022)
HU,9584627,2024,eurostat-demo_pjan(2024)
IN,1261224954,2011,worldbank-SP.POP.TOTL(2011)
IT,58943464,2025,eurostat-demo_pjan(2025)
NL,17942942,2024,eurostat-demo_pjan(2024)
RU,144746762,2021,worldbank-SP.POP.TOTL(2021)
UK,66273576,2018,eurostat-demo_pjan(2018)
US,340003797,2024,worldbank-SP.POP.TOTL(2024)
