name,link_target,region,rng,elev,prom,col,lat,lon,sources
Mont Blanc,Mont Blanc,France,,4810.0,4697.0,,,,list-of-alpine-peaks-by-prominence
Großglockner,Großglockner,Austria,,3798.0,2423.0,,,,list-of-alpine-peaks-by-prominence
Finsteraarhorn,Finsteraarhorn,Switzerland,,4274.0,2279.0,,,,list-of-alpine-peaks-by-prominence
Wildspitze,Wildspitze,Austria,,3768.0,2261.0,,,,list-of-alpine-peaks-by-prominence
Piz Bernina,Piz Bernina,Switzerland,,4048.0,2236.0,,,,list-of-alpine-peaks-by-prominence
Hochkönig,Hochkönig,Austria,,2941.0,2181.0,,,,list-of-alpine-peaks-by-prominence
Dufourspitze,Dufourspitze,Switzerland,,4634.0,2165.0,,,,list-of-alpine-peaks-by-prominence
Hoher Dachstein,Hoher Dachstein,Austria,,2995.0,2136.0,,,,list-of-alpine-peaks-by-prominence
Marmolada,Marmolada,Italy,,3343.0,2131.0,,,,list-of-alpine-peaks-by-prominence
Monte Viso,Monte Viso,Italy,,3841.0,2062.0,,,,list-of-alpine-peaks-by-prominence
Triglav,Triglav,Slovenia,,2864.0,2052.0,,,,list-of-alpine-peaks-by-prominence
Barre des Écrins,Barre des Écrins,France,,4102.0,2045.0,,,,list-of-alpine-peaks-by-prominence
Säntis,Säntis,Switzerland,,2503.0,2021.0,,,,list-of-alpine-peaks-by-prominence
Ortler,Ortler,Italy,,3905.0,1953.0,,,,list-of-alpine-peaks-by-prominence
Monte Baldo,Monte Baldo,Italy,,2218.0,1950.0,,,,list-of-alpine-peaks-by-prominence
Gran Paradiso,Gran Paradiso,Italy,,4061.0,1891.0,,,,list-of-alpine-peaks-by-prominence
Pizzo di Coca,Pizzo di Coca,Italy,,3050.0,1878.0,,,,list-of-alpine-peaks-by-prominence
Cima Dodici,Cima Dodici,Italy,,2336.0,1874.0,,,,list-of-alpine-peaks-by-prominence
Dents du Midi,Dents du Midi,Switzerland,,3257.0,1796.0,,,,list-of-alpine-peaks-by-prominence
Chamechaude,Chamechaude,France,,2082.0,1771.0,,,,list-of-alpine-peaks-by-prominence
Zugspitze,Zugspitze,Germany,,2962.0,1746.0,,,,list-of-alpine-peaks-by-prominence
Monte Antelao,Monte Antelao,Italy,,3264.0,1735.0,,,,list-of-alpine-peaks-by-prominence
Arcalod,Arcalod,France,,2217.0,1713.0,,,,list-of-alpine-peaks-by-prominence
Grintovec,Grintovec,Slovenia,,2558.0,1706.0,,,,list-of-alpine-peaks-by-prominence
Großer Priel,Großer Priel,Austria,,2515.0,1700.0,,,,list-of-alpine-peaks-by-prominence
Grigna Settentrionale,Grigna Settentrionale,Italy,,2409.0,1686.0,,,,list-of-alpine-peaks-by-prominence
Monte Bondone,Monte Bondone,Italy,,2180.0,1679.0,,,,list-of-alpine-peaks-by-prominence
Presanella,Presanella,Italy,,3558.0,1676.0,,,,list-of-alpine-peaks-by-prominence
Birnhorn,Birnhorn,Austria,,2634.0,1665.0,,,,list-of-alpine-peaks-by-prominence
Col Nudo,Col Nudo,Italy,,2471.0,1644.0,,,,list-of-alpine-peaks-by-prominence
Pointe Percée,Pointe Percée,France,,2750.0,1643.0,,,,list-of-alpine-peaks-by-prominence
Jôf di Montasio,Jôf di Montasio,Italy,,2753.0,1597.0,,,,list-of-alpine-peaks-by-prominence
Mölltaler Polinik,Mölltaler Polinik,Austria,,2784.0,1579.0,,,,list-of-alpine-peaks-by-prominence
Tödi,Tödi,Switzerland,,3614.0,1570.0,,,,list-of-alpine-peaks-by-prominence
Birkkarspitze,Birkkarspitze,Austria,,2749.0,1564.0,,,,list-of-alpine-peaks-by-prominence
Ellmauer Halt,Ellmauer Halt,Austria,,2344.0,1551.0,,,,list-of-alpine-peaks-by-prominence
Grande Tête de l'Obiou,Grande Tête de l'Obiou,France,,2790.0,1542.0,,,,list-of-alpine-peaks-by-prominence
Hochtor,Hochtor,Austria,,2369.0,1520.0,,,,list-of-alpine-peaks-by-prominence
Grimming,Grimming,Austria,,2351.0,1518.0,,,,list-of-alpine-peaks-by-prominence
La Tournette,La Tournette,France,,2351.0,1514.0,,,,list-of-alpine-peaks-by-prominence
Grand Combin,Grand Combin,Switzerland,,4309.0,1512.0,,,,list-of-alpine-peaks-by-prominence
Piz Kesch,Piz Kesch,Switzerland,,3418.0,1502.0,,,,list-of-alpine-peaks-by-prominence
Zirbitzkogel,Zirbitzkogel,Austria,,2396.0,1502.0,,,,list-of-alpine-peaks-by-prominence
Cima Brenta,Cima Brenta,Italy,,3151.0,1501.0,,,,list-of-alpine-peaks-by-prominence
