name,link_target,region,rng,elev,prom,col,lat,lon,sources
Mount Everest,Mount Everest,/,Himalayas,8848.0,8848.0,0.0,27.988055555,86.925,list-of-ultras-of-the-himalayas
Aconcagua,Aconcagua,,Andes,6962.0,6962.0,0.0,-32.653055555,-70.011666666,list-of-ultras-of-south-america
Denali,,Alaska,Alaska Range,6190.5,6140.5,,63.069,-151.0063,list-of-ultras-of-north-america
Mount Kilimanjaro,Mount Kilimanjaro,,Eastern Rift mountains,5895.0,5885.0,10.0,-3.066666666,37.359166666,list-of-ultras-of-africa
Pico Cristóbal Colón,Pico Cristóbal Colón,,,5775.0,5584.0,191.0,,,list-of-ultras-of-south-america
Mount Logan,,Yukon,Saint Elias Mountains,5956.0,5247.0,,60.5671,-140.4055,list-of-ultras-of-north-america
Pico de Orizaba,,Puebla,Cordillera Neovolcanica,5636.0,4922.0,,19.0305,-97.2698,list-of-ultras-of-north-america
Vinson Massif,Vinson Massif,,Sentinel Range,4892.0,4892.0,0.0,-78.525555555,-85.617222222,list-of-ultras-of-antarctica
Puncak Jaya,Puncak Jaya,New Guinea,Sudirman Range,4884.0,4884.0,0.0,-4.083333333,137.183333333,list-of-ultras-of-oceania;list-of-ultras-of-the-malay-archipelago
Mount Elbrus,Mount Elbrus,,Greater Caucasus,5642.0,4741.0,901.0,43.35254,42.437875,list-of-european-ultra-prominent-peaks;list-of-ultras-of-west-asia
Monte Bianco,Mont Blanc,/,Alps,4810.0,4697.0,113.0,45.832777777,6.865,list-of-european-ultra-prominent-peaks
Mount Damavand,Mount Damavand,,Alborz Mountains,5610.0,4667.0,943.0,35.955277777,52.109166666,list-of-ultras-of-west-asia
Klyuchevskaya Sopka,Klyuchevskaya Sopka,,Kamchatka,4750.0,4649.0,101.0,56.066666666,160.633333333,list-of-ultras-of-northeast-asia
Nanga Parbat,Nanga Parbat,,Himalayas,8125.0,4608.0,3517.0,35.239166666,74.59,list-of-ultras-of-the-himalayas
Mauna Kea,,,,4207.3,4207.3,19.8207,19.8207,-155.4681,list-of-ultras-of-oceania
Jengish Chokusu,Jengish Chokusu,&nbsp;/&nbsp;,Tian Shan,7439.0,4148.0,3291.0,42.034662,80.128713,list-of-ultras-of-central-asia
Bogda Feng,Bogda Feng,,,5445.0,4122.0,1323.0,,,list-of-ultras-of-central-asia
Chimborazo,Chimborazo (volcano),,Cordillera Occidental,6267.0,4122.0,2145.0,-1.469166666,-78.8175,list-of-ultras-of-south-america
Namcha Barwa,Namcha Barwa,,Himalayas,7782.0,4106.0,3676.0,29.630555555,95.055277777,list-of-ultras-of-the-himalayas
Mount Kinabalu,Mount Kinabalu,Borneo,Crocker Range,4095.0,4095.0,0.0,6.075,116.558611111,list-of-ultras-of-the-malay-archipelago
Mount Rainier,,Washington,Cascade Range,4394.396,4026.416,,46.8529,-121.7604,list-of-ultras-of-north-america
K2,K2,"&nbsp;/&nbsp;,",Karakoram,8614.0,4020.0,4594.0,35.881111111,76.513333333,list-of-ultras-of-the-karakoram-and-hindu-kush
Volcán Tajumulco,,,Sierra de las Nubes,4220.0,3990.0,,15.043,-91.9037,list-of-ultras-of-north-america
Ras Dashen,Ras Dashen,,Simien Mountains,4533.0,3980.0,553.0,13.236666666,38.3725,list-of-ultras-of-africa
Mount Fairweather,,Alaska,Saint Elias Mountains,4671.0,3961.0,,58.9064,-137.5265,list-of-ultras-of-north-america
Pico Bolívar,Pico Bolívar,,Sierra Nevada de Mérida,4981.0,3957.0,1024.0,8.540861111,-71.0465,list-of-ultras-of-south-america
Yushan,Yushan (mountain),,Yushan Range,3952.0,3952.0,0.0,23.47,120.957266666,list-of-ultras-of-tibet-east-asia-and-neighbouring-areas
Mount Stanley,Mount Stanley,&nbsp;/&nbsp;,Rwenzori Mountains,5109.0,3951.0,1158.0,,,list-of-ultras-of-africa
Mount Cameroon,Mount Cameroon,,Cameroon line,4070.0,3931.0,139.0,4.216666666,9.1725,list-of-ultras-of-africa
Kangchenjunga,Kangchenjunga,&nbsp;/&nbsp;,,8586.0,3922.0,4664.0,,,list-of-ultras-of-the-himalayas
Tirich Mir,Tirich Mir,,Hindu Kush,7706.0,3908.0,3798.0,36.245833333,71.843888888,list-of-ultras-of-the-karakoram-and-hindu-kush
Mount Kenya,Mount Kenya,,Eastern Rift mountains,5199.0,3825.0,1374.0,-0.1,37.2,list-of-ultras-of-africa
Mount Kerinci,Mount Kerinci,Sumatra,Barisan Mountains,3805.0,3805.0,0.0,-1.696944,101.264444,list-of-ultras-of-the-malay-archipelago
Mount Erebus,Mount Erebus,Ross Island,Ross Island,3794.0,3794.0,0.0,-77.533333333,167.283333333,list-of-ultras-of-antarctica
Mount Fuji,Mount Fuji,Honshū,Honshu,3776.0,3776.0,0.0,,,list-of-ultra-prominent-peaks-of-japan
Cerro Chirripó,,,Cordillera de Talamanca,3819.0,3755.0,,9.4843,-83.4889,list-of-ultras-of-north-america
Toubkal,Toubkal,,Atlas Mountains,4167.0,3755.0,412.0,31.061944444,-7.916111111,list-of-ultras-of-africa
Finisterre Range,Finisterre Range,,Finisterre Range,4175.0,3734.0,441.0,-5.8,146.1,list-of-ultras-of-oceania
Mount Rinjani,Mount Rinjani,Lombok,Lombok,3726.0,3726.0,0.0,-8.416666666,116.466666666,list-of-ultras-of-the-malay-archipelago
Aoraki / Mount Cook,Aoraki / Mount Cook,,,3724.0,3724.0,0.0,,,list-of-ultras-of-oceania
Teide,Teide,Canaries,Tenerife,3715.0,3715.0,0.0,28.272638888,-16.643611111,list-of-european-ultra-prominent-peaks
Monte San Valentín,Monte San Valentín,,,4058.0,3696.0,362.0,,,list-of-ultras-of-south-america
Gunnbjørn Fjeld,,,Island of Greenland,3694.0,3694.0,,68.9184,-29.8991,list-of-ultras-of-north-america
