name,link_target,rank,elev,prom,subprominence
Mount Everest,Mount Everest,1,8848.86,8848.86,False
K2,K2,2,8611.0,4020.0,False
Kangchenjunga,Kangchenjunga,3,8586.0,3922.0,False
Lhotse,Lhotse,4,8516.0,610.0,False
Makalu,Makalu,5,8485.0,2378.0,False
Cho Oyu,Cho Oyu,6,8188.0,2340.0,False
Dhaulagiri I,Dhaulagiri,7,8167.0,3357.0,False
Manaslu,Manaslu,8,8163.0,3092.0,False
Nanga Parbat,Nanga Parbat,9,8126.0,4608.0,False
Annapurna I,Annapurna,10,8091.0,2984.0,False
Gasherbrum I,Gasherbrum I,11,8080.0,2155.0,False
Broad Peak,Broad Peak,12,8051.0,1701.0,False
Gasherbrum II,Gasherbrum II,13,8035.0,1524.0,False
Shishapangma,Shishapangma,14,8027.0,2897.0,False
Gyachung Kang,Gyachung Kang,15,7952.0,672.0,False
Annapurna II,Annapurna II,16,7937.0,2437.0,False
Gasherbrum IV,Gasherbrum IV,17,7932.0,712.0,False
Himalchuli,Himalchuli,18,7893.0,1633.0,False
Distaghil Sar,Distaghil Sar,19,7884.0,2525.0,False
Ngadi Chuli,Ngadi Chuli,20,7871.0,1011.0,False
Khunyang Chhish,Khunyang Chhish,21,7823.0,1765.0,False
Masherbrum,Masherbrum,22,7821.0,2457.0,False
Nanda Devi,Nanda Devi,23,7817.0,3139.0,False
Chomo Lonzo,Chomo Lonzo,24,7804.0,590.0,False
Batura Sar,Batura Sar,25,7795.0,3118.0,False
Rakaposhi,Rakaposhi,26,7788.0,2818.0,False
Namcha Barwa,Namcha Barwa,27,7782.0,4106.0,False
Kanjut Sar,Kanjut Sar,28,7760.0,1660.0,False
Kamet,Kamet,29,7756.0,2825.0,False
Dhaulagiri II,Dhaulagiri,30,7751.0,2397.0,False
Saltoro Kangri,Saltoro Kangri,31,7742.0,2160.0,False
Kumbhakarna,Kumbhakarna Mountain,32,7711.0,1036.0,False
Tirich Mir,Tirich Mir,33,7708.0,3910.0,False
Gurla Mandhata,Gurla Mandhata,34,7694.0,2788.0,False
Saser Kangri,Saser Kangri,35,7672.0,2304.0,False
Chogolisa,Chogolisa,36,7665.0,1624.0,False
Kongur Tagh,Kongur Tagh,37,7649.0,3585.0,False
Shispare,Shispare,38,7611.0,1240.0,False
Trivor,Trivor,39,7577.0,997.0,False
Gangkhar Puensum,Gangkhar Puensum,40,7570.0,2995.0,False
Gongga Shan,Mount Gongga,41,7556.0,3642.0,False
Annapurna III,Annapurna III,42,7555.0,703.0,False
Muztagh Ata,Muztagh Ata,49,7546.0,2698.0,False
Skyang Kangri,Skyang Kangri,43,7545.0,1085.0,False
Changtse,Changtse,44,7543.0,514.0,False
Kula Kangri,Kula Kangri,45,7538.0,1654.0,False
Kongur Tiube,Kongur Tiube,46,7530.0,840.0,False
Mamostong Kangri,Mamostong Kangri,47,7516.0,1803.0,False
Saser Kangri,Saser Kangri,48,7513.0,1458.0,False
Ismoil Somoni Peak,Ismoil Somoni Peak,50,7495.0,3402.0,False
Saser Kangri,Saser Kangri,51,7495.0,835.0,False
Noshaq,Noshaq,52,7492.0,2024.0,False
Pumari Chhish,Pumari Chhish,53,7492.0,884.0,False
Passu Sar,Passu Sar,54,7476.0,647.0,False
Yukshin Gardan Sar,Yukshin Gardan Sar,55,7469.0,1374.0,False
Teram Kangri,Teram Kangri,56,7462.0,1703.0,False
Jongsong Peak,Jongsong Peak,57,7462.0,1298.0,False
Malubiting,Malubiting,58,7458.0,2193.0,False
Gangapurna,Gangapurna,59,7455.0,563.0,False
Jengish Chokusu,Jengish Chokusu,60,7439.0,4148.0,False
K12,K12 (mountain),61,7428.0,1978.0,False
Yangra,Yangra,62,7422.0,2352.0,False
Sia Kangri,Sia Kangri,63,7422.0,642.0,False
Momhil Sar,Momhil Sar,64,7414.0,907.0,False
Kabru,Kabru,65,7412.0,720.0,False
Skil Brum,Skil Brum,66,7410.0,1152.0,False
Haramosh Peak,Haramosh Peak,67,7409.0,2277.0,False
Istor-o-Nal,Istor-o-Nal,68,7403.0,1043.0,False
Ghent Kangri,Ghent Kangri,69,7401.0,1493.0,False
Ultar,Ultar,70,7388.0,688.0,False
Rimo I,Rimo I,71,7385.0,1428.0,False
Churen Himal,Churen Himal,72,7385.0,650.0,False
Teram Kangri III,Teram Kangri,73,7382.0,520.0,False
Sherpi Kangri,Sherpi Kangri,74,7380.0,1320.0,False
Labuche Kang,Labuche Kang,75,7367.0,1957.0,False
Kirat Chuli,Kirat Chuli,76,7362.0,1168.0,False
Saraghrar,Saraghrar,77,7349.0,1979.0,False
Jomolhari,Jomolhari,78,7326.0,2341.0,False
Chamlang,Chamlang,79,7321.0,1241.0,False
Chongtar,Chongtar,80,7315.0,1295.0,False
Baltoro Kangri,Baltoro Kangri,81,7312.0,1140.0,False
