name,link_target,region,rng,elev,prom,col,lat,lon,sources
Mount Everest,Mount Everest,/,,8848.0,8848.0,0.0,,,list-of-ultras-of-the-himalayas
Nanga Parbat,Nanga Parbat,,,8125.0,4608.0,3517.0,,,list-of-ultras-of-the-himalayas
Namcha Barwa,Namcha Barwa,,,7782.0,4106.0,3676.0,,,list-of-ultras-of-the-himalayas
Kangchenjunga,Kangchenjunga,&nbsp;/&nbsp;,,8586.0,3922.0,4664.0,,,list-of-ultras-of-the-himalayas
Dhaulagiri,Dhaulagiri,,,8167.0,3357.0,4810.0,,,list-of-ultras-of-the-himalayas
Nanda Devi,Nanda Devi,,,7816.0,3139.0,4677.0,,,list-of-ultras-of-the-himalayas
Manaslu,Manaslu,,,8163.0,3092.0,5071.0,,,list-of-ultras-of-the-himalayas
Gangkhar Puensum,Gangkhar Puensum,&nbsp;/&nbsp;,,7570.0,2995.0,4575.0,,,list-of-ultras-of-the-himalayas
Annapurna I,Annapurna I,,,8091.0,2984.0,5107.0,,,list-of-ultras-of-the-himalayas
Shishapangma,Shishapangma,,,8027.0,2897.0,5130.0,,,list-of-ultras-of-the-himalayas
Kamet,Kamet,,,7756.0,2825.0,4931.0,,,list-of-ultras-of-the-himalayas
Gurla Mandhata,Gurla Mandhata,,,7694.0,2788.0,4906.0,,,list-of-ultras-of-the-himalayas
Annapurna II,Annapurna II,,,7937.0,2437.0,5500.0,,,list-of-ultras-of-the-himalayas
Nun,Nun Kun,,,7135.0,2404.0,4731.0,,,list-of-ultras-of-the-himalayas
Dhaulagiri II,Dhaulagiri II,,,7752.0,2397.0,5355.0,,,list-of-ultras-of-the-himalayas
Makalu,Makalu,/,,8485.0,2378.0,6107.0,,,list-of-ultras-of-the-himalayas
Yangra,Yangra,,,7422.0,2352.0,5070.0,,,list-of-ultras-of-the-himalayas
Cho Oyu,Cho Oyu,/,,8188.0,2340.0,5848.0,,,list-of-ultras-of-the-himalayas
Shikar Beh,Shikar Beh,,,6200.0,2223.0,3977.0,,,list-of-ultras-of-the-himalayas
Kangto,Kangto,&nbsp;/&nbsp;,,7060.0,2195.0,4865.0,,,list-of-ultras-of-the-himalayas
Noijin Kangsang,Noijin Kangsang,,,7191.0,2145.0,5046.0,,,list-of-ultras-of-the-himalayas
Parbati Parbat,Parbati Parbat,,,6633.0,2093.0,4540.0,,,list-of-ultras-of-the-himalayas
Chomolhari,Chomolhari,&nbsp;/&nbsp;,,7326.0,2077.0,5249.0,,,list-of-ultras-of-the-himalayas
Chamar,Chamar (mountain),,,7165.0,2061.0,5104.0,,,list-of-ultras-of-the-himalayas
Api,Api (mountain),,,7132.0,2040.0,5092.0,,,list-of-ultras-of-the-himalayas
Pauhunri,Pauhunri,&nbsp;/&nbsp;,,7128.0,2035.0,5093.0,,,list-of-ultras-of-the-himalayas
Reo Purgyil,Reo Purgyil,&nbsp;/&nbsp;,,6816.0,1978.0,4838.0,,,list-of-ultras-of-the-himalayas
Labuche Kang,Labuche Kang,,,7367.0,1957.0,5410.0,,,list-of-ultras-of-the-himalayas
Sunset Peak,Sunset Peak (Jammu and Kashmir),,,4745.0,1942.0,2803.0,,,list-of-ultras-of-the-himalayas
Nemjung,Nemjung,,,7140.0,1920.0,5220.0,,,list-of-ultras-of-the-himalayas
Miranjani,Miranjani,,,2981.0,1911.0,1070.0,,,list-of-ultras-of-the-himalayas
Gya,Mount Gya,&nbsp;/&nbsp;,,6794.0,1910.0,4884.0,,,list-of-ultras-of-the-himalayas
Dofana,Dofana,,,5940.0,1875.0,4065.0,,,list-of-ultras-of-the-himalayas
Kanjiroba,Kanjiroba,,,6883.0,1870.0,5013.0,,,list-of-ultras-of-the-himalayas
Point 5608,Point 5608,&nbsp;/&nbsp;,,5608.0,1850.0,3758.0,,,list-of-ultras-of-the-himalayas
Saipal,Saipal,,,7031.0,1824.0,5207.0,,,list-of-ultras-of-the-himalayas
Nyonno Ri,Nyonno Ri,,,6724.0,1805.0,4919.0,,,list-of-ultras-of-the-himalayas
Yarla Shampo,Yarla Shampo,,,6636.0,1805.0,4831.0,,,list-of-ultras-of-the-himalayas
Pandim,Pandim,,,6691.0,1762.0,4929.0,,,list-of-ultras-of-the-himalayas
Tongshanjiabu,Tongshanjiabu,&nbsp;/&nbsp;,,7207.0,1757.0,5450.0,,,list-of-ultras-of-the-himalayas
Nyegyi Kansang,Nyegyi Kansang,&nbsp;/&nbsp;,,6970.0,1752.0,5295.0,,,list-of-ultras-of-the-himalayas
Point 5980,Point 5980,&nbsp;/&nbsp;,,5980.0,1747.0,4233.0,,,list-of-ultras-of-the-himalayas
Manirang,Manirang,,,6593.0,1727.0,4866.0,,,list-of-ultras-of-the-himalayas
Tsanglha Ri (Zang La),,,,6495.0,1712.0,4783.0,,,list-of-ultras-of-the-himalayas
Kubi Gangri,Kubi Gangri,&nbsp;/&nbsp;,,6859.0,1699.0,5160.0,,,list-of-ultras-of-the-himalayas
Tarlha Ri,Tarlha Ri,,,6777.0,1697.0,5080.0,,,list-of-ultras-of-the-himalayas
Dafla Range,Dafla Range,,,3776.0,1684.0,2092.0,,,list-of-ultras-of-the-himalayas
Point 5800,Point 5800,,,5800.0,1682.0,4118.0,,,list-of-ultras-of-the-himalayas
Point 5641,Point 5641,&nbsp;/&nbsp;,,5641.0,1681.0,3960.0,,,list-of-ultras-of-the-himalayas
Badi malika,Badi malika,,,4390.0,1678.0,2712.0,,,list-of-ultras-of-the-himalayas
Rangrik Rang,Rangrik Rang,,,6684.0,1674.0,5010.0,,,list-of-ultras-of-the-himalayas
Hathi Parbat,Hathi Parbat,,,6727.0,1673.0,5054.0,,,list-of-ultras-of-the-himalayas
Kula Kangri,Kula Kangri,&nbsp;/&nbsp;,,7553.0,1669.0,5884.0,,,list-of-ultras-of-the-himalayas
Changla,Changla,&nbsp;/&nbsp;,,6721.0,1657.0,5064.0,,,list-of-ultras-of-the-himalayas
Bhalu Lek,Bhalu Lek,,,5425.0,1643.0,3782.0,,,list-of-ultras-of-the-himalayas
Himalchuli,Himalchuli,,,7893.0,1633.0,6260.0,,,list-of-ultras-of-the-himalayas
Tarka La,Tarka La,,,4735.0,1624.0,3111.0,,,list-of-ultras-of-the-himalayas
Pangpoche,Pangpoche,,,6620.0,1622.0,4998.0,,,list-of-ultras-of-the-himalayas
Point 6086,Point 6086,,,6086.0,1618.0,4468.0,,,list-of-ultras-of-the-himalayas
Trisul,Trisul,,,7120.0,1616.0,5504.0,,,list-of-ultras-of-the-himalayas
Panchchuli,Panchchuli,,,6904.0,1614.0,5290.0,,,list-of-ultras-of-the-himalayas
Bharanzar,Sickle Moon Peak,,,6574.0,1606.0,4968.0,,,list-of-ultras-of-the-himalayas
Gauri Sankar,Gauri Sankar,,,7146.0,1600.0,5546.0,,,list-of-ultras-of-the-himalayas
Chaukhamba,Chaukhamba,,,7138.0,1594.0,5544.0,,,list-of-ultras-of-the-himalayas
Nanda Kot,Nanda Kot,,,6861.0,1592.0,5269.0,,,list-of-ultras-of-the-himalayas
Mulkila,Mulkila,,,6517.0,1586.0,4931.0,,,list-of-ultras-of-the-himalayas
Kolahoi,Kolahoi,,,5425.0,1585.0,3840.0,,,list-of-ultras-of-the-himalayas
Point 5971,Point 5971,,,5971.0,1566.0,4405.0,,,list-of-ultras-of-the-himalayas
Junkor,Junkor,&nbsp;/&nbsp;,,5373.0,1563.0,3810.0,,,list-of-ultras-of-the-himalayas
Kazi Razi,Kazi Razi,,,6505.0,1561.0,4944.0,,,list-of-ultras-of-the-himalayas
Chomo Yummo,Chomo Yummo,&nbsp;/&nbsp;,,6829.0,1559.0,5270.0,,,list-of-ultras-of-the-himalayas
Jethi Bahurani,Jethi Bahurani,,,6850.0,1558.0,5292.0,,,list-of-ultras-of-the-himalayas
Melungtse,Melungtse,,,7181.0,1551.0,5630.0,,,list-of-ultras-of-the-himalayas
Langtang Lirung,Langtang Lirung,,,7234.0,1534.0,5700.0,,,list-of-ultras-of-the-himalayas
Point 6215,Point 6215,,,6215.0,1521.0,4694.0,,,list-of-ultras-of-the-himalayas
Point 5840,Point 5840,,,5840.0,1511.0,4329.0,,,list-of-ultras-of-the-himalayas
Doda,Doda (mountain),,,6573.0,1504.0,5069.0,,,list-of-ultras-of-the-himalayas
