name,link_target,region,rng,elev,prom,col,lat,lon,sources
Mount Robson,,Canadian Rockies,Canadian Rockies,3959.0,2829.0,,53.1105,-119.1566,list-of-ultras-of-north-america
Mount Elbert,,Sawatch Range,Sawatch Range,4401.2,2771.5,,39.1178,-106.4454,list-of-ultras-of-north-america
Mount Columbia (Canada),,Canadian Rockies,Canadian Rockies,3741.0,2371.0,,52.1473,-117.4416,list-of-ultras-of-north-america
Ulysses Mountain,,Muskwa Ranges,Muskwa Ranges,3024.0,2294.0,,57.3464,-124.0928,list-of-ultras-of-north-america
Cloud Peak,,Bighorn Mountains,Bighorn Mountains,4013.3,2157.1,,44.3821,-107.1739,list-of-ultras-of-north-america
Gannett Peak,,Wind River Range,Wind River Range,4209.1,2156.8,,43.1842,-109.6542,list-of-ultras-of-north-america
Mount Assiniboine,,Canadian Rockies,Canadian Rockies,3616.0,2082.0,,50.8696,-115.6509,list-of-ultras-of-north-america
Mount Edith Cavell,,Canadian Rockies,Canadian Rockies,3363.0,2033.0,,52.6672,-118.0569,list-of-ultras-of-north-america
Grand Teton,,Teton Range,Teton Range,4198.7,1994.9,,43.7412,-110.8024,list-of-ultras-of-north-america
Kings Peak (Utah),,Uinta Mountains,Uinta Mountains,4120.3,1937.9,,40.7659,-110.3779,list-of-ultras-of-north-america
Mount Goodsir,,Canadian Rockies,Canadian Rockies,3567.0,1917.0,,51.2021,-116.3975,list-of-ultras-of-north-america
Mount Peale,,La Sal Mountains,La Sal Mountains,3879.0,1884.0,,38.4385,-109.2292,list-of-ultras-of-north-america
Borah Peak,,Lost River Range,Lost River Range,3861.2,1829.4,,44.1374,-113.7811,list-of-ultras-of-north-america
Mount Ellen (Utah),,Henry Mountains,Henry Mountains,3513.392,1786.738,,38.1089,-110.8136,list-of-ultras-of-north-america
Mount Harrison (British Columbia),,Canadian Rockies,Canadian Rockies,3360.0,1770.0,,50.0604,-115.2057,list-of-ultras-of-north-america
Mount Sir Alexander,,Canadian Rockies,Canadian Rockies,3275.0,1762.0,,53.936,-120.3869,list-of-ultras-of-north-america
Mount Hector (Alberta),,Canadian Rockies,Canadian Rockies,3394.0,1759.0,,51.5752,-116.259,list-of-ultras-of-north-america
Whitehorn Mountain (British Columbia),,Canadian Rockies,Canadian Rockies,3399.0,1747.0,,53.137,-119.2667,list-of-ultras-of-north-america
Mount Chown,,Canadian Rockies,Canadian Rockies,3316.0,1746.0,,53.3971,-119.4173,list-of-ultras-of-north-america
Crazy Peak,,Crazy Mountains,Crazy Mountains,3417.924,1743.151,,46.0182,-110.2766,list-of-ultras-of-north-america
McDonald Peak,,Mission Mountains,Mission Mountains,2994.454,1722.12,,47.3826,-113.9191,list-of-ultras-of-north-america
Pikes Peak,,Pikes Peak,Pikes Peak,4302.31,1685.54,,38.8405,-105.0442,list-of-ultras-of-north-america
Mount Nebo (Utah),,Wasatch Range,Wasatch Range,3637.049,1678.838,,39.8219,-111.7603,list-of-ultras-of-north-america
Snowshoe Peak,,Cabinet Mountains,Cabinet Mountains,2664.709,1658.417,,48.2231,-115.689,list-of-ultras-of-north-america
Jeanette Peak,,Canadian Rockies,Canadian Rockies,3089.0,1657.0,,52.6357,-118.6166,list-of-ultras-of-north-america
Mount Forbes,,Canadian Rockies,Canadian Rockies,3617.0,1649.0,,51.86,-116.9316,list-of-ultras-of-north-america
Diamond Peak (Idaho),,Lemhi Range,Lemhi Range,3719.3,1642.0,,44.1414,-113.0827,list-of-ultras-of-north-america
Blanca Peak,,Sangre de Cristo Range,Sangre de Cristo Range,4374.111,1623.365,,37.5775,-105.4857,list-of-ultras-of-north-america
Mount Timpanogos,,Wasatch Range,Wasatch Range,3582.0,1609.0,,40.3908,-111.6459,list-of-ultras-of-north-america
Mount Fryatt,,Canadian Rockies,Canadian Rockies,3361.0,1608.0,,52.5503,-117.9104,list-of-ultras-of-north-america
Mount Ovington,,Hart Ranges,Hart Ranges,2949.0,1600.0,,54.1433,-120.574,list-of-ultras-of-north-america
Mount Cleveland (Montana),,Canadian Rockies,Canadian Rockies,3194.0,1599.0,,48.9249,-113.8482,list-of-ultras-of-north-america
Mount Crysdale,,Misinchinka Ranges,Misinchinka Ranges,2429.0,1554.0,,55.9383,-123.421,list-of-ultras-of-north-america
Mount Ida (Continental Ranges),,Canadian Rockies,Canadian Rockies,3200.0,1530.0,,54.058,-120.3268,list-of-ultras-of-north-america
Mount Temple (Alberta),,Canadian Rockies,Canadian Rockies,3540.0,1530.0,,51.3511,-116.2063,list-of-ultras-of-north-america
Mount Joffre,,Canadian Rockies,Canadian Rockies,3433.0,1505.0,,50.5285,-115.2069,list-of-ultras-of-north-america
