name,qid,prom,elev,lat,lon
Mount Humboldt,Q1547446,11845.0,1618.0,-21.88388889,166.42027778
Mount Blackburn,Q1520855,11590.0,16390.0,61.731908333,-143.439297222
Nocis volcano,Q124982733,9022.0,,,
Mount Everest,Q513,8848.86,8848.86,27.988055555,86.925
San Gorgonio Mountain,Q3364408,8294.0,11503.0,34.0992,-116.825
Charleston Peak,Q978970,8241.0,11916.0,36.271597222,-115.695569444
Mount Pavlof,Q687491,8225.0,2519.0,55.419444444,-161.895
Mount Veniaminof,Q1139596,8199.0,2507.0,56.198055555,-159.390833333
Mount Adams,Q267646,8116.0,3743.4,46.202411111,-121.490894444
Mount Isto,Q8529786,7876.0,8976.0,69.2024,-143.802
Mount Iliamna,Q1950549,7866.0,3053.0,60.031727777,-153.091166666
Mount Olympus,Q522586,7838.0,2432.0,47.801305555,-123.710833333
Mount Hood,Q275662,7706.0,11237.0,45.373611111,-121.695833333
Glacier Peak,Q1529000,7498.0,3213.0,48.111944444,-121.114166666
Mount Kimball (Alaska),Q8523184,7424.0,3139.0,63.2386,-144.644
Abercrombie Mountain,Q4666831,7308.0,,48.9283,-117.46
Mount Griggs,Q826942,7300.0,2334.0,58.353888888,-155.091666666
Gannett Peak,Q1493617,7076.0,4207.0,43.184202777,-109.654233333
Cloud Peak,Q5135676,7067.0,13167.0,44.382138888,-107.173913888
Mount Vsevidof,Q1950800,7051.0,2149.0,53.13,-168.693
Mount Hesperus,Q1950510,6978.0,2996.0,61.8039,-154.145
Aconcagua,Q39739,6962.0,6962.0,-32.653055555,-70.011666666
Mount Chiginagak,Q851232,6675.0,2134.0,57.133611111,-156.991388888
Grand Teton,Q2078034,6530.0,4199.0,43.741194444,-110.802416666
Sacajawea Peak,Q7396563,6377.0,9838.0,45.245,-117.2925
King's Peak,Q1642538,6348.0,4123.0,40.776388888,-110.372777777
Mount Neacola,Q6922357,6326.0,9426.0,60.7986,-153.394
Mount San Antonio,Q128657,6224.0,3069.0,34.2889,-117.647
Kichatna Spire,Q14680093,6185.0,7684.0,62.4231,-152.723
Mount Peale,Q6922678,6161.0,12717.0,38.438333333,-109.229166666
,Q130018,6155.0,6190.0,63.069102777,-151.006261111
Mount Washington,Q572801,6148.0,1917.0,44.270827777,-71.303483333
Humphreys Peak,Q1239004,6039.0,12622.0,35.346341666,-111.677947222
Hanagita Peak,Q49034763,6004.0,,61.0683,-143.7089
Borah Peak,Q893312,5982.0,3857.0,44.1373891,-113.78110123
Mount Kilimanjaro,Q7296,5895.0,5895.0,-3.066666666,37.359166666
Uhuru Peak,Q20727403,5885.0,5895.0,-3.07613,37.3535
Mount Jefferson,Q3321885,5861.0,11946.0,38.752,-116.927
Mount Ellen,Q8525257,5842.0,3507.0,38.10971,-110.81377
Isanotski Peaks,Q955807,5831.0,8106.0,54.7686,-163.729
Deseret Peak,Q1200569,5812.0,3362.0,40.459513888,-112.626322222
Mount Jefferson,Q772492,5777.0,3199.0,44.6743006,-121.799573611
Pilot Peak,Q7194444,5726.0,3266.0,41.0211,-114.077
Crazy Peak,Q3382297,5719.0,11214.0,46.018,-110.276833333
Devils Paw,Q5267436,5686.0,8584.0,58.730833333,-133.839722222
Puu Kukui,Q7262536,5668.0,5788.0,20.8906,-156.586
McDonald Peak,Q6800916,5640.0,9820.0,47.3828,-113.919
South Sister,Q32999754,5593.0,10363.0,44.103888888,-121.769722222
Mount Russell,Q6923367,5550.0,3557.0,62.7989,-151.882
Mount Steller,Q6923851,5515.0,10715.0,60.5203,-143.091
Pico Cristóbal Colón,Q578862,5509.0,5775.0,10.838333333,-73.686666666
Mount Nebo,Q8519552,5488.0,11933.0,39.8214,-111.76
Snowshoe Peak,Q8529328,5418.0,8738.0,48.223055555,-115.689444444
North Schell Peak,Q3344163,5403.0,11883.0,39.41325,-114.599694444
Hayford Peak,Q8537860,5392.0,9924.0,36.6577,-115.201
Diamond Peak,Q5270889,5377.0,12202.0,44.1417,-113.083
Flat Top Mountain,Q39074681,5370.0,10613.0,40.3725,-112.189166666
Mount Stuart,Q1493735,5354.0,2869.0,47.4753,-120.901
Mount Carlisle,Q1810012,5283.0,1620.0,52.8939,-170.054
Bashful Peak,Q4866805,5275.0,8005.0,61.3075,-148.869722222
